source,target,value
House Wells,The North,5
House Whitehill,The North,5
House Woodfoot of Bear Island,House Mormont of Bear Island,5
House Woods,The North,5
House Woolfield,The North,5
House Wull,The North,5
House Ambrose,The Reach,6
House Appleton of Appleton,The Reach,6
House Ashford of Ashford,The Reach,6
House Ball,The Reach,6
House Bessbury of Honeyholt,The Reach,6
House Blackbar of Bandallon,The Reach,6
House Bridges,The Reach,6
House Bulwer,The Reach,6
House Bushy,The Reach,6
House Caswell of Bitterbridge,The Reach,6
House Chester of Greenshield,The Reach,6
House Cockshaw,The Reach,6
House Conklyn,The Reach,6
House Cordwayner of Hammerhal,The Reach,6
House Costayne of Three Towers,The Reach,6
House Crane of Red Lake,The Reach,6
House Cuy of Sunhouse,The Reach,6
House Dunn,The Reach,6
House Durwell,The Reach,6
House Florent of Brightwater Keep,The Reach,6
House Footly of Tumbleton,The Reach,6
House Fossoway of Cider Hall,The Reach,6
House Fossoway of New Barel,House Fossoway of Cider Hall,6
House Gardener of Highgarden,The Reach,6
House Graceford of Holyhall,The Reach,6
House Graves,The Reach,6
House Grimm of Greyshield,The Reach,6
House Hastwyck,The Reach,6
House Hewett of Oakenshield,The Reach,6
House Hightower of the Hightower,The Reach,6
House Hunt,The Reach,6
House Hutcheson,The Reach,6
House Inchfield,The Reach,6
House Kidwell of Ivy Hall,The Reach,6
House Leygood,The Reach,6
House Lowther,The Reach,6
House Lyberr,The Reach,6
House Meadows of Grassy Vale,The Reach,6
House Merryweather of Longtable,The Reach,6
House Middlebury,The Reach,6
House Mullendore of Uplands,The Reach,6
House Norcross,The Reach,6
House Norridge,The Reach,6
House Oakheart of Old Oak,The Reach,6
House Oldflowers,The Reach,6
House Orme,The Reach,6
House Osgrey of Leafy Lake,The Reach,6
House Osgrey of Starpike,House Osgrey of Leafy Lake,6
House Peake of Starpike,The Reach,6
House Pommingham,The Reach,6
House Redding,The Reach,6
House Redwyne of the Arbor,The Reach,6
House Rhysling,The Reach,6
House Risley,The Reach,6
House Rowan of the Goldengrove,The Reach,6
House Roxton of the Ring,The Reach,6
House Serry of Southshield,The Reach,6
House Sloane,The Reach,6
House Stackhouse,The Reach,6
House Tarly of Horn Hill,House Tyrell of Highgarden,6
House Tyrell of Brightwater Keep,House Tyrell of Highgarden,6
House Tyrell of Highgarden,The Reach,6
House Uffering,The Reach,6
House Varner,The Reach,6
House Vyrwel of Darkdell,The Reach,6
House Webber of Coldmoat,The Reach,6
House Westbrook,The Reach,6
House Willum,The Reach,6
House Woodwright,The Reach,6
House Wythers,The Reach,6
House Yelshire,The Reach,6
House Baelish of Harrenhal,The Riverlands,7
House Bigglestone,The Riverlands,7
House Blackwood of Raventree Hall,The Riverlands,7
House Blanetree,The Riverlands,7
House Bracken of Stone Hedge,The Riverlands,7
House Butterwell,The Riverlands,7
House Chambers,The Riverlands,7
House Charlton,The Riverlands,7
House Darry of Darry,The Riverlands,7
House Deddings,The Riverlands,7
House Erenford,The Riverlands,7
House Fisher,The Riverlands,7
House Frey of Riverrun,House Frey of the Crossing,7
House Frey of the Crossing,The Riverlands,7
House Goodbrook,The Riverlands,7
House Grell,The Riverlands,7
House Grey,The Riverlands,7
House Haigh,The Riverlands,7
House Harlton,The Riverlands,7
House Harroway of Harrenhal,The Riverlands,7
House Hawick of Saltpans,The Riverlands,7
House Heddle,The Riverlands,7
House Hook,The Riverlands,7
House Justman,The Riverlands,7
House Keath,The Riverlands,7
House Lannister of Darry,The Riverlands,7
House Lolliston,The Riverlands,7
House Lothston of Harrenhal,The Riverlands,7
House Lychester,The Riverlands,7
House Mallister of Seagard,The Riverlands,7
House Mooton of Maidenpool,The Riverlands,7
House Mudd of Oldstones,The Riverlands,7
House Nayland of Hag's Mire,The Riverlands,7
House Nutt,The Riverlands,7
House Paege,The Riverlands,7
House Perryn,The Riverlands,7
House Piper of Pinkmaiden,The Riverlands,7
House Qoherys of Harrenhal,The Riverlands,7
House Roote of Lord Harroway's Town,The Riverlands,7
House Ryger of Willow Wood,The Riverlands,7
House Shawney,The Riverlands,7
House Smallwood of Acord Hall,The Riverlands,7
House Strong of Harrenhal,The Riverlands,7
House Teague,The Riverlands,7
House Terrick,The Riverlands,7
House Towers of Harrenhal,The Riverlands,7
House Tully of Riverrun,The Riverlands,7
House Vance of Atranta,The Riverlands,7
House Vance of Wayfarer's Rest,House Vance of Atranta,7
House Wayn,The Riverlands,7
House Wode,The Riverlands,7
House Whent of Harrenhal,The Riverlands,7
House Baratheon of Storm's End,The Stormlands,8
House Bolling,The Stormlands,8
House Buckler of Brownstone,The Stormlands,8
House Caffren of Fawnton,The Stormlands,8
House Caron of Nightsong,The Stormlands,8
House Cole,The Stormlands,8
House Connington of Griffin's Roost,The Stormlands,8
House Dondarrion of Blackhaven,The Stormlands,8
House Durrandon,The Stormlands,8
House Errol of Haystack Hall,The Stormlands,8
House Estermont of Greenstone,The Stormlands,8
House Fell of Felwood,The Stormlands,8
House Foote of Nightsong,The Stormlands,8
House Gower,The Stormlands,8
House Grandison of Grandview,The Stormlands,8
House Hasty,The Stormlands,8
House Herston,The Stormlands,8
House Horpe,The Stormlands,8
House Kellington,The Stormlands,8
House Lonmouth,The Stormlands,8
House Mertyns of Mistwood,The Stormlands,8
House Morrigen of Crow's Nest,The Stormlands,8
House Musgood,The Stormlands,8
House Peasebury of Poddingfield,The Stormlands,8
House Penrose of Parchments,The Stormlands,8
House Rogers of Amberly,The Stormlands,8
House Seaworth of Cape Wrath,The Stormlands,8
House Selmy of Harvest Hall,The Stormlands,8
House Staedmon of Broad Arch,The Stormlands,8
House Swann of Stonehelm,The Stormlands,8
House Swygert,The Stormlands,8
House Tarth of Evenfall Hall,The Stormlands,8
House Toyne,The Stormlands,8
House Trant of Gallowsgrey,The Stormlands,8
House Tudbury,The Stormlands,8
House Wagstaff,The Stormlandsr,8
House Wensington,The Stormlands,8
House Wylde of Rain House,The Stormlands,8
House Arryn of Gulltown,House Arryn of the Eyrie,9
House Arryn of the Eyrie,The Vale,9
House Baelish of the Fingers ,The Vale,9
House Belmore of Strongsong,The Vale,9
House Borrell of Sweetsister,The Vale,9
House Breakstone,The Vale,9
House Brightstone,The Vale,9
House Coldwater of Coldwater Burn,The Vale,9
House Donniger,The Vale,9
House Egen,The Vale,9
House Elesham of the Paps,The Vale,9
House Grafton of Gulltown,The Vale,9
House Hardying,The Vale,9
House Hersy of Newkeep,The Vale,9
House Hunter of Longbow Hall,The Vale,9
House Lipps,The Vale,9
House Longthorpe of Longsister,The Vale,9
House Lynderly of the Snakewood,The Vale,9
House Melcolm of the Old Anchor,The Vale,9
House Moore,The Vale,9
House Pryor of Pebble,The Vale,9
House Redfort of Redfort,The Vale,9
House Royce of Runestone,The Vale,9
House Royce of the Gates of the Moon,The Vale,9
House Ruthermont,The Vale,9
House Shell,The Vale,9
House Shett,The Vale,9
House Shett of Gulltower,House Shett,9
House Shett of Gulltown,House Shett,9
House Sunderland of the Three Sisters,The Vale,9
House Totllett of the Grey Glen,The Vale,9
House Torrent of the Littesister,The Vale,9
House Upcliff,The Vale,9
House Waxley of Wickenden,The Vale,9
House Waynwood of Ironoaks,The Vale,9
House,The Vale,9
House Wydman,The Vale,9
House Algood,The Westerlands,10
House Banefort of Banefort,The Westerlands,10
House Bettley,The Westerlands,10
House Brax of Hornvale,The Westerlands,10
House Broom,The Westerlands,10
House Casterly of Casterly Rock,The Westerlands,10
House Clegane,The Westerlands,10
House Clifton,The Westerlands,10
House Crakehall of Crakehall,The Westerlands,10
House Doggett,The Westerlands,10
House Drox,The Westerlands,10
House Estren of Wyndhall,The Westerlands,10
House Falwell,The Westerlands,10
House Farman of Faircastle,The Westerlands,10
House Ferren,The Westerlands,10
House Foote,The Westerlands,10
House Garner,The Westerlands,10
House Greenfield of Greenfield,The Westerlands,10
House Haemll,The Westerlands,10
House Hawthorne,The Westerlands,10
House Hetherspoon,The Westerlands,10
House Jast,The Westerlands,10
House Kenning of Kayce,The Westerlands,10
House Kyndall,The Westerlands,10
House Lannett,The Westerlands,10
House Lannister of Casterly Rock,The Westerlands,10
House Lannister of Lannisport,House Lannister of Casterly Rock,10
House Lanny,The Westerlands,10
House Lantell,The Westerlands,10
House Lefford of the Golden Tooth,The Westerlands,10
House Lorch,The Westerlands,10
House Lydden of Deep Den,The Westerlands,10
House Marbrand of Ashemark,The Westerlands,10
House Moreland,The Westerlands,10
House Myatt,The Westerlands,10
House Parren,The Westerlands,10
House Payne,The Westerlands,10
House Peckledon,The Westerlands,10
House Plumm,The Westerlands,10
House Prester of Feastfires,The Westerlands,10
House Reyne of Castamere,The Westerlands,10
House Ruttiger,The Westerlands,10
House Sarsfield of Sarsfield,The Westerlands,10
House Sarwyck,The Westerlands,10
House Serrett of Silverhill,The Westerlands,10
House Spicer of Castamere,The Westerlands,10
House Stackspear,The Westerlands,10
House Swyft og Cornfield,The Westerlands,10
House Tarbeck of Tarbeck Hall,The Westerlands,10
House Turnberry,The Westerlands,10
House Vikary,The Westerlands,10
House Westerling of the Crag,The Westerlands,10
House Westford,The Westerlands,10
House Yarwyck,The Westerlands,10
